Point_Index,Building_Index,AdjustedEnglishTypeTag
861,21,Electricity
862,21,Heating energy
865,22,Electricity
867,22,Heating energy
878,24,Electricity
879,24,Electricity
880,24,Electricity
883,24,Heating energy
884,24,Heating energy
888,24,Cooling energy
889,24,Cooling energy
899,25,Electricity
900,25,Electricity
901,25,Electricity
902,25,Electricity
903,25,Electricity
906,26,Electricity
907,26,Electricity
908,26,Electricity
909,26,Electricity
912,26,Heating energy
913,26,Heating energy
917,26,Cooling energy
918,26,Cooling energy
919,26,Cooling energy
936,27,Electricity
937,27,Electricity
938,27,Electricity
939,27,Electricity
940,27,Electricity
941,27,Electricity
942,27,Electricity
943,27,Electricity
944,27,Electricity
945,27,Electricity
947,27,Heating energy
948,27,Heating energy
950,27,Cooling energy
957,28,Electricity
958,28,Electricity
959,28,Electricity
964,28,Heating energy
965,28,Heating energy
966,28,Heating energy
967,28,Heating energy
974,28,Cooling energy
975,28,Cooling energy
976,28,Cooling energy
989,29,Electricity
990,29,Electricity
991,29,Electricity
992,29,Electricity
997,29,Heating energy
998,29,Heating energy
999,29,Heating energy
1008,29,Cooling energy
1009,29,Cooling energy
1017,30,Electricity
1018,30,Electricity
1019,30,Electricity
1024,30,Heating energy
1025,30,Heating energy
1026,30,Heating energy
1039,30,Cooling energy
1057,31,Electricity
1058,31,Electricity
1059,31,Electricity
1060,31,Electricity
1061,31,Electricity
1062,31,Electricity
1063,31,Electricity
1064,31,Electricity
1065,31,Electricity
1066,31,Electricity
1072,31,Heating energy
1073,31,Heating energy
1074,31,Heating energy
1075,31,Heating energy
1076,31,Heating energy
1077,31,Heating energy
1078,31,Heating energy
1083,31,Cooling energy
1084,31,Cooling energy
1085,31,Cooling energy
1086,31,Cooling energy
1094,32,Heating energy
1106,33,Electricity
1107,33,Electricity
1108,33,Electricity
1109,33,Electricity
1110,33,Electricity
1117,33,Heating energy
1118,33,Heating energy
1119,33,Heating energy
1120,33,Heating energy
1121,33,Heating energy
1122,33,Heating energy
1123,33,Heating energy
1147,33,Cooling energy
1148,33,Cooling energy
1149,33,Cooling energy
1156,34,Electricity
1158,34,Heating energy
1160,34,Cooling energy
1163,35,Electricity
1168,36,Electricity
1169,36,Electricity
1170,36,Electricity
1171,36,Electricity
1172,36,Electricity
1173,36,Electricity
1174,36,Electricity
1177,36,Heating energy
1178,36,Heating energy
1193,36,Cooling energy
1194,36,Cooling energy
